Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
223988,Secondary, Опалиха,7.0,Moscow region,1.0,34.6,17.0,10.0,25.0,26,European-style renovation
197970,Secondary, Павшино,4.0,Moscow region,1.0,39.4,10.0,9.9,12.0,12,Cosmetic
193069,Secondary, Красногорская,6.0,Moscow region,1.0,40.4,16.3,11.1,1.0,17,Cosmetic
197468,Secondary, Аникеевка,6.0,Moscow region,1.0,39.5,16.6,12.0,20.0,26,Cosmetic
188564,Secondary, Красногорская,38.0,Moscow region,1.0,41.1,20.0,10.0,8.0,14,Cosmetic
210811,Secondary, Опалиха,6.0,Moscow region,1.0,37.0,15.2,9.1,24.0,26,Designer
238024,Secondary, Павшино,11.0,Moscow region,1.0,33.4,17.0,9.4,2.0,8,European-style renovation
219444,Secondary, Павшино,7.0,Moscow region,1.0,36.0,20.0,8.0,3.0,4,European-style renovation
231672,Secondary, Опалиха,16.0,Moscow region,1.0,34.1,16.3,9.0,1.0,8,European-style renovation
210106,Secondary, Красногорская,43.0,Moscow region,1.0,37.6,21.1,9.8,4.0,24,Cosmetic
237359,Secondary, Опалиха,12.0,Moscow region,1.0,33.7,19.2,9.4,10.0,12,European-style renovation
200000,Secondary, Красногорская,20.0,Moscow region,1.0,40.0,11.0,19.0,5.0,9,European-style renovation
242424,Secondary, Опалиха,19.0,Moscow region,1.0,33.0,8.0,9.4,6.0,10,European-style renovation
238806,Secondary, Опалиха,14.0,Moscow region,1.0,33.5,16.2,9.0,1.0,8,European-style renovation
210938,Secondary, Опалиха,4.0,Moscow region,1.0,38.4,21.5,9.8,2.0,8,Without renovation
171527,Secondary, Красногорская,8.0,Moscow region,1.0,47.8,23.4,11.6,2.0,7,Designer
173729,Secondary, Опалиха,6.0,Moscow region,1.0,47.2,22.0,12.0,19.0,26,Cosmetic
232295,Secondary, Митино,7.0,Moscow region,1.0,35.3,15.0,8.3,5.0,17,European-style renovation
271667,Secondary, Павшино,12.0,Moscow region,1.0,30.0,17.3,9.1,10.0,21,Designer
214767,Secondary, Опалиха,6.0,Moscow region,1.0,38.6,16.7,9.3,18.0,25,European-style renovation
243109,Secondary, Строгино,8.0,Moscow region,1.0,34.1,14.1,11.2,21.0,34,Designer
242690,Secondary, Опалиха,7.0,Moscow region,1.0,34.2,20.0,12.0,4.0,26,European-style renovation
266144,Secondary, Пенягино,14.0,Moscow region,1.0,31.9,15.0,10.0,11.0,44,European-style renovation
193103,Secondary, Опалиха,6.0,Moscow region,1.0,43.5,11.5,10.2,3.0,8,Without renovation
193182,Secondary, Павшино,6.0,Moscow region,1.0,44.0,11.0,20.0,17.0,17,Cosmetic
233516,Secondary, Опалиха,6.0,Moscow region,1.0,36.4,10.0,9.7,3.0,25,Designer
216837,Secondary, Митино,12.0,Moscow region,1.0,39.2,14.0,10.4,14.0,25,European-style renovation
177320,Secondary, Опалиха,6.0,Moscow region,1.0,48.5,17.7,13.5,15.0,17,European-style renovation
195455,Secondary, Красногорская,10.0,Moscow region,1.0,44.0,17.5,10.0,5.0,14,European-style renovation
182773,Secondary, Опалиха,5.0,Moscow region,1.0,47.6,20.0,11.5,18.0,25,European-style renovation
209135,Secondary, Павшино,8.0,Moscow region,1.0,41.6,19.0,18.0,20.0,23,Cosmetic
229551,Secondary, Павшино,5.0,Moscow region,1.0,37.9,21.3,9.8,1.0,12,Cosmetic
202326,Secondary, Красногорская,6.0,Moscow region,1.0,43.0,22.0,11.0,2.0,14,Cosmetic
239394,Secondary, Мякинино,16.0,Moscow region,1.0,36.3,20.0,8.0,4.0,19,Without renovation
184896,Secondary, Красногорская,7.0,Moscow region,1.0,48.0,18.0,13.0,10.0,17,European-style renovation
195435,Secondary, Красногорская,30.0,Moscow region,1.0,46.0,18.0,13.0,15.0,16,Cosmetic
209790,Secondary, Павшино,8.0,Moscow region,1.0,42.9,16.0,13.0,1.0,24,Designer
198889,Secondary, Аникеевка,6.0,Moscow region,1.0,45.0,19.0,13.0,8.0,24,European-style renovation
228205,Secondary, Пенягино,10.0,Moscow region,1.0,39.0,20.0,10.0,16.0,25,European-style renovation
219753,Secondary, Мякинино,24.0,Moscow region,1.0,40.5,18.0,12.0,16.0,25,European-style renovation
225441,Secondary, Пенягино,12.0,Moscow region,1.0,39.7,22.2,9.9,10.0,25,Cosmetic
226817,Secondary, Павшино,19.0,Moscow region,1.0,39.9,19.0,8.0,16.0,17,European-style renovation
